result_id,race_id,driver_id,driver_ref
1,18,1001,lewis_hamilton
2,18,1002,nick_heidfeld
3,18,1003,nico_rosberg
4,18,1004,fernando_alonso
5,18,1005,heikki_kovalainen
6,18,1006,kazuki_nakajima
7,18,1007,sebastien_bourdais
8,18,1008,kimi_raikkonen
9,18,1009,robert_kubica
10,18,1010,timo_glock
11,18,1011,takuma_sato
12,18,1012,nelson_piquet_jr
13,18,1013,felipe_massa
14,18,1014,david_coulthard
15,18,1015,jarno_trulli
16,18,1016,adrian_sutil
17,18,1017,mark_webber
18,18,1018,jenson_button
19,18,1019,anthony_davidson
20,18,1020,sebastian_vettel
21,18,1021,giancarlo_fisichella
22,18,1022,rubens_barrichello
23,19,1008,kimi_raikkonen
24,19,1009,robert_kubica
25,19,1005,heikki_kovalainen
26,19,1015,jarno_trulli
27,19,1001,lewis_hamilton
28,19,1002,nick_heidfeld
29,19,1017,mark_webber
30,19,1004,fernando_alonso
31,19,1014,david_coulthard
32,19,1018,jenson_button
33,19,1012,nelson_piquet_jr
34,19,1021,giancarlo_fisichella
35,19,1022,rubens_barrichello
36,19,1003,nico_rosberg
37,19,1019,anthony_davidson
38,19,1011,takuma_sato
39,19,1006,kazuki_nakajima
40,19,1020,sebastian_vettel
41,19,1013,felipe_massa
42,19,1016,adrian_sutil
43,19,1010,timo_glock
44,19,1007,sebastien_bourdais
45,20,1013,felipe_massa
46,20,1008,kimi_raikkonen
47,20,1009,robert_kubica
48,20,1002,nick_heidfeld
49,20,1005,heikki_kovalainen
50,20,1015,jarno_trulli
51,20,1017,mark_webber
52,20,1003,nico_rosberg
53,20,1010,timo_glock
54,20,1004,fernando_alonso
55,20,1022,rubens_barrichello
56,20,1021,giancarlo_fisichella
57,20,1001,lewis_hamilton
58,20,1006,kazuki_nakajima
59,20,1007,sebastien_bourdais
60,20,1019,anthony_davidson
61,20,1011,takuma_sato
62,20,1014,david_coulthard
63,20,1016,adrian_sutil
64,20,1012,nelson_piquet_jr
65,20,1018,jenson_button
66,20,1020,sebastian_vettel
67,21,1008,kimi_raikkonen
68,21,1013,felipe_massa
69,21,1001,lewis_hamilton
70,21,1009,robert_kubica
71,21,1017,mark_webber
72,21,1018,jenson_button
73,21,1006,kazuki_nakajima
74,21,1015,jarno_trulli
75,21,1002,nick_heidfeld
76,21,1021,giancarlo_fisichella
77,21,1010,timo_glock
78,21,1014,david_coulthard
79,21,1011,takuma_sato
80,21,1003,nico_rosberg
81,21,1004,fernando_alonso
82,21,1022,rubens_barrichello
83,21,1005,heikki_kovalainen
84,21,1019,anthony_davidson
85,21,1007,sebastien_bourdais
86,21,1012,nelson_piquet_jr
87,21,1016,adrian_sutil
88,21,1020,sebastian_vettel
89,22,1013,felipe_massa
90,22,1001,lewis_hamilton
91,22,1008,kimi_raikkonen
92,22,1009,robert_kubica
93,22,1002,nick_heidfeld
94,22,1004,fernando_alonso
95,22,1017,mark_webber
96,22,1003,nico_rosberg
97,22,1014,david_coulthard
98,22,1015,jarno_trulli
99,22,1018,jenson_button
100,22,1005,heikki_kovalainen
101,22,1010,timo_glock
102,22,1022,rubens_barrichello
103,22,1012,nelson_piquet_jr
104,22,1016,adrian_sutil
105,22,1020,sebastian_vettel
106,22,1007,sebastien_bourdais
107,22,1006,kazuki_nakajima
108,22,1021,giancarlo_fisichella
109,23,1001,lewis_hamilton
110,23,1009,robert_kubica
111,23,1013,felipe_massa
112,23,1017,mark_webber
113,23,1020,sebastian_vettel
114,23,1022,rubens_barrichello
115,23,1006,kazuki_nakajima
116,23,1005,heikki_kovalainen
117,23,1008,kimi_raikkonen
118,23,1004,fernando_alonso
119,23,1018,jenson_button
120,23,1010,timo_glock
121,23,1015,jarno_trulli
122,23,1002,nick_heidfeld
123,23,1016,adrian_sutil
124,23,1003,nico_rosberg
125,23,1012,nelson_piquet_jr
126,23,1021,giancarlo_fisichella
127,23,1014,david_coulthard
128,23,1007,sebastien_bourdais
129,24,1009,robert_kubica
130,24,1002,nick_heidfeld
131,24,1014,david_coulthard
132,24,1010,timo_glock
133,24,1013,felipe_massa
134,24,1015,jarno_trulli
135,24,1022,rubens_barrichello
136,24,1020,sebastian_vettel
137,24,1005,heikki_kovalainen
138,24,1003,nico_rosberg
139,24,1018,jenson_button
140,24,1017,mark_webber
141,24,1007,sebastien_bourdais
142,24,1021,giancarlo_fisichella
143,24,1006,kazuki_nakajima
144,24,1004,fernando_alonso
145,24,1012,nelson_piquet_jr
146,24,1008,kimi_raikkonen
147,24,1001,lewis_hamilton
148,24,1016,adrian_sutil
149,25,1013,felipe_massa
150,25,1008,kimi_raikkonen
151,25,1015,jarno_trulli
152,25,1005,heikki_kovalainen
153,25,1009,robert_kubica
154,25,1017,mark_webber
155,25,1012,nelson_piquet_jr
156,25,1004,fernando_alonso
157,25,1014,david_coulthard
158,25,1001,lewis_hamilton
159,25,1010,timo_glock
160,25,1020,sebastian_vettel
161,25,1002,nick_heidfeld
162,25,1022,rubens_barrichello
163,25,1006,kazuki_nakajima
164,25,1003,nico_rosberg
165,25,1007,sebastien_bourdais
166,25,1021,giancarlo_fisichella
167,25,1016,adrian_sutil
168,25,1018,jenson_button
169,26,1001,lewis_hamilton
170,26,1002,nick_heidfeld
171,26,1022,rubens_barrichello
172,26,1008,kimi_raikkonen
173,26,1005,heikki_kovalainen
174,26,1004,fernando_alonso
175,26,1015,jarno_trulli
176,26,1006,kazuki_nakajima
177,26,1003,nico_rosberg
178,26,1017,mark_webber
179,26,1007,sebastien_bourdais
180,26,1010,timo_glock
181,26,1013,felipe_massa
182,26,1009,robert_kubica
183,26,1018,jenson_button
184,26,1012,nelson_piquet_jr
185,26,1021,giancarlo_fisichella
186,26,1016,adrian_sutil
187,26,1020,sebastian_vettel
188,26,1014,david_coulthard
189,27,1001,lewis_hamilton
190,27,1012,nelson_piquet_jr
191,27,1013,felipe_massa
192,27,1002,nick_heidfeld
193,27,1005,heikki_kovalainen
194,27,1008,kimi_raikkonen
195,27,1009,robert_kubica
196,27,1020,sebastian_vettel
197,27,1015,jarno_trulli
198,27,1003,nico_rosberg
199,27,1004,fernando_alonso
200,27,1007,sebastien_bourdais
201,27,1014,david_coulthard
202,27,1006,kazuki_nakajima
203,27,1016,adrian_sutil
204,27,1021,giancarlo_fisichella
205,27,1018,jenson_button
206,27,1022,rubens_barrichello
207,27,1017,mark_webber
208,27,1010,timo_glock
209,28,1005,heikki_kovalainen
210,28,1010,timo_glock
211,28,1008,kimi_raikkonen
212,28,1004,fernando_alonso
213,28,1001,lewis_hamilton
214,28,1012,nelson_piquet_jr
215,28,1015,jarno_trulli
216,28,1009,robert_kubica
217,28,1017,mark_webber
218,28,1002,nick_heidfeld
